,,,,,,,,,
,,,,,,,,,
,Upset,,,,,,,,
,Over,,,,,,,,
,Under,,,GAMES ( *Conf. ),SPREAD,OVER / UNDER,SCORE,LOCATION,DATE / TIME (ET)
,No Odds,,,,,,,,
,,,,Maryland vs. Virginia 🧡💙,MD -2.5,54.5,27 - 13,"Charlottesville, VA",14 Sep / 8:00 pm
,,,,San Diego State vs. Cal,CAL -18.5,50.5,10 - 31,"Berkeley, CA",14 Sep / 10:30 pm
,,,,,,,,,
,,,,,,,,,
,,,WEEK 4,Stanford vs. Syracuse *,SYR -9.5,56.5,26 - 24,"Syracuse, NY",20 Sep / 7:30 pm
,,,,,,,,,
,,,,NC State vs. Clemson *,CLEM -17.5,44.5,35 - 59,"Clemson, SC",21 Sep / 12:00 pm
,,,,JMU vs. North Carolina,UNC -11.5,48.5,70 - 50,"Chapel Hill, NC",21 Sep / 12:00 pm
,,,,Virginia 🧡💙 vs. Coastal Carolina,UVA -3.5,52.5,43 - 24,"Conway, SC",21 Sep / 2:00 pm
,,,,Georgia Tech vs. Louisville *,LOU -8.5,55.5,19 -31,"Louisville, KY",21 Sep / 3:30 pm
,,,,Rutgers vs. Virginia Tech,VT -3.5,44.5,26 - 23,"Blacksburg, VA",21 Sep / 3:30 pm
,,,,Youngstown State vs. Pitt,PITT -29.5,59.5,17 - 73,"Pittsburgh, PA",21 Sep / 3:30 pm
,,,,Duke vs. Middle Tennessee,DUKE -14.5,50.5,45 - 17,"Murfreesboro, TN",21 Sep / 4:00 pm
,,,,TCU vs. SMU,TCU -1.5,58.5,42 - 66,"Dallas, TX",21 Sep / 5:00 pm
,,,,Miami vs. South Florida,MIA -15.5,63.5,50 - 15,"Tampa, FL",21 Sep / 7:00 pm
,,,,Cal vs. Florida State *,FSU -2.5,44.5,9 - 14,"Tallahassee, FL",21 Sep / 7:00 pm
,,,,Michigan State vs. Boston College,BOS -4.5,45.5,19 - 23,"Chestnut Hill, MA",21 Sep / 8:00 pm
,,,,,,,,,
,,,,,,,,,
,,,WEEK 5,Virginia Tech vs. Miami *,MIA -17.5,53.5,34 - 38,"Coral Gables, FL",27 Sep / 7:30 pm
,,,,,,,,,
,,,,Northern Illinois vs. NC State,NCSU -6.5,46.5,17 - 24,"Raleigh, NC",28 Sep / 12:00 pm
,,,,Western Kentucky vs. Boston College,BOS -13,54.5,20 - 21,"Chestnut Hill, MA",28 Sep / 12:00 pm
,,,,Holy Cross vs. Syracuse,SYR -28.5,56.5,14 - 42,"Syracuse, NY",28 Sep / 12:00 pm
,,,,Louisville vs. Notre Dame,ND -6.5,44.5,24 - 31,"South Bend, IN",28 Sep / 3:30 pm
,,,,Louisiana vs. Wake Forest,WAKE -3.5,60.5,41 - 38,"Winston-Salem, NC",28 Sep / 3:30 pm
,,,,North Carolina vs. Duke *,DUKE -2.5,55.5,20 - 21,"Durham, NC ",28 Sep / 4:00 pm
,,,,Stanford vs. Clemson *,CLEM -21.5,57.5,14 - 40,"Clemson, SC",28 Sep / 7:00 pm
,,,,Florida State vs. SMU *,SMU -6.5,47.5,16 - 42,"Dallas, TX",28 Sep / 8:00 pm
,,,,,,,,,
,,,,,,,,,
,,,WEEK 6,Syracuse vs. UNLV,UNLV -5.5,54.5,44 - 41,"Las Vegas, NV",4 Oct / 9:00 pm
,,,,,,,,,
,,,,Boston College vs. Virginia 🧡💙 *,UVA -1.5,53.5,14 - 24,"Charlottesville, VA",5 Oct / 12:00 pm
